Create Date,Entity_ID,Order Customer,Country,L2_Category_ID,Weekly_Volume,Total_Weight_Kg,Mean_Value,High_Value_Raw,High_Value_Ratio,Dist_Day0,Dist_Day1,Dist_Day2,Dist_Day3,Dist_Day4,Dist_Day5,Dist_Day6
2025-11-03,GPGS_NL_368,GPGS,NL,368,4,0.4,5.2773545697036495,0,0.0,0.9999999975,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,GPGS_NZ_368,GPGS,NZ,368,4,0.4,5.264098353020786,0,0.0,0.9999999975,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,GPGS_PL_368,GPGS,PL,368,5,0.5,5.329581992088199,0,0.0,0.9999999980000001,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,GPGS_PT_368,GPGS,PT,368,4,0.4,5.344009481316659,0,0.0,0.9999999975,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,GPGS_SE_368,GPGS,SE,368,1,0.1,5.272015357843761,0,0.0,0.9999999900000002,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,GPGS_SG_368,GPGS,SG,368,7,0.7000000000000001,5.3181462926032665,0,0.0,0.9999999985714286,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,GPGS_SI_368,GPGS,SI,368,1,0.1,5.327436592819151,0,0.0,0.9999999900000002,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,GPGS_TR_368,GPGS,TR,368,3,0.30000000000000004,5.2416425528162245,0,0.0,0.9999999966666667,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,GPGS_US_8999,GPGS,US,8999,13,1.3,3.2436462407447078,0,0.0,0.9999999992307692,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,Motion Global Limited_PH_121,Motion Global Limited,PH,121,1,0.3,99.10161727911076,1,1.0,0.9999999900000002,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,Sa Sa Dot Com Limited_CA_394,Sa Sa Dot Com Limited,CA,394,1,0.28,81.13098763206959,1,1.0,0.9999999900000002,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,Sa Sa Dot Com Limited_MY_394,Sa Sa Dot Com Limited,MY,394,48,12.13,47.50444482110701,43,0.8958333333333334,0.2708333332769097,0.0,0.0,0.0,0.0,0.33333333326388886,0.39583333325086806
2025-11-03,Sa Sa Dot Com Limited_PH_394,Sa Sa Dot Com Limited,PH,394,54,17.909,261.20466111739626,48,0.8888888888888888,0.37037037030178327,0.0,0.0,0.0,0.0,0.2962962962414266,0.3333333332716049
2025-11-03,Sa Sa Dot Com Limited_SG_394,Sa Sa Dot Com Limited,SG,394,46,12.041,50.91719524828918,40,0.8695652173913043,0.23913043473062381,0.0,0.0,0.0,0.0,0.28260869559073726,0.47826086946124763
2025-11-03,Shenzhen Takesend Logistics Co. Ltd._AU_52,Shenzhen Takesend Logistics Co. Ltd.,AU,52,2,7.5,104.28070346456235,1,0.5,0.4999999975,0.0,0.0,0.0,0.0,0.4999999975,0.0
2025-11-03,Shenzhen Takesend Logistics Co. Ltd._DE_19999,Shenzhen Takesend Logistics Co. Ltd.,DE,19999,1,3.0,40.16341314892959,1,1.0,0.0,0.0,0.0,0.0,0.0,0.9999999900000002,0.0
2025-11-03,Shenzhen Takesend Logistics Co. Ltd._NZ_10999,Shenzhen Takesend Logistics Co. Ltd.,NZ,10999,2,0.315,7.123585241677864,0,0.0,0.4999999975,0.0,0.0,0.0,0.0,0.4999999975,0.0
2025-11-03,Shenzhen Takesend Logistics Co. Ltd._NZ_16,Shenzhen Takesend Logistics Co. Ltd.,NZ,16,10,3.055,7.236631988434157,0,0.0,0.49999999949999996,0.0,0.0,0.0,0.0,0.3999999996,0.0999999999
2025-11-03,Shenzhen Takesend Logistics Co. Ltd._NZ_18,Shenzhen Takesend Logistics Co. Ltd.,NZ,18,13,3.47,8.084682438579335,0,0.0,0.6923076917751478,0.0,0.0,0.0,0.0,0.30769230745562126,0.0
2025-11-03,Shenzhen Takesend Logistics Co. Ltd._NZ_1999,Shenzhen Takesend Logistics Co. Ltd.,NZ,1999,13,18.64,10.258141744864737,0,0.0,0.3846153843195266,0.0,0.0,0.0,0.0,0.6153846149112425,0.0
2025-11-03,Shenzhen Takesend Logistics Co. Ltd._NZ_19999,Shenzhen Takesend Logistics Co. Ltd.,NZ,19999,1,1.5,10.33475931297378,0,0.0,0.9999999900000002,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,Shenzhen Takesend Logistics Co. Ltd._NZ_36,Shenzhen Takesend Logistics Co. Ltd.,NZ,36,5,1.342,2.8468938551395793,0,0.0,0.3999999992,0.0,0.0,0.0,0.0,0.5999999988,0.0
2025-11-03,Shenzhen Takesend Logistics Co. Ltd._NZ_37,Shenzhen Takesend Logistics Co. Ltd.,NZ,37,2,0.553,9.638968801196704,0,0.0,0.999999995,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,Shenzhen Takesend Logistics Co. Ltd._NZ_374,Shenzhen Takesend Logistics Co. Ltd.,NZ,374,1,1.0,8.452709109106179,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999900000002,0.0
2025-11-03,Shenzhen Takesend Logistics Co. Ltd._NZ_59,Shenzhen Takesend Logistics Co. Ltd.,NZ,59,1,0.29,12.21343699763909,0,0.0,0.9999999900000002,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,Shenzhen Takesend Logistics Co. Ltd._SA_380,Shenzhen Takesend Logistics Co. Ltd.,SA,380,2,11.0,65.4222628676875,2,1.0,0.0,0.0,0.0,0.0,0.0,0.999999995,0.0
2025-11-03,Shenzhen Takesend Logistics Co. Ltd._SG_352,Shenzhen Takesend Logistics Co. Ltd.,SG,352,1,0.952,1.360360520231217,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999900000002,0.0
2025-11-03,Shenzhen Takesend Logistics Co. Ltd._SG_57,Shenzhen Takesend Logistics Co. Ltd.,SG,57,1,961.23,40.26448360255501,1,1.0,0.0,0.0,0.0,0.0,0.0,0.9999999900000002,0.0
2025-11-03,Shipany Limited_SG_41,Shipany Limited,SG,41,17,4.0,403.3355196866009,17,1.0,0.9999999994117647,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,Strawberry Cosmetics Service Limited_IN_394,Strawberry Cosmetics Service Limited,IN,394,2,0.528,40.8489259290843,2,1.0,0.0,0.0,0.0,0.0,0.0,0.999999995,0.0
2025-11-03,Tak Yuet International (ASIA) Trading Co. Limited_US_1,Tak Yuet International (ASIA) Trading Co. Limited,US,1,2,0.2,7.45772128708053,0,0.0,0.0,0.0,0.0,0.0,0.0,0.999999995,0.0
2025-11-03,Tak Yuet International (ASIA) Trading Co. Limited_US_69,Tak Yuet International (ASIA) Trading Co. Limited,US,69,7,0.7000000000000001,7.173121507800223,0,0.0,0.8571428559183674,0.0,0.0,0.0,0.0,0.14285714265306124,0.0
